,City,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
475,Ancud,64.4,59,20,13.87,-41.87,-73.82
476,Manggar,82.38,77,13,7.76,-2.88,108.27
477,Whitehorse,9.25,77,20,3.36,60.72,-135.05
478,Moranbah,66.9,64,1,11.01,-22.0,148.05
479,Westport,49.1,27,1,8.05,41.14,-73.36
480,Polson,15.58,51,1,12.75,47.69,-114.16
481,Murchison,47.28,80,69,0.6,-41.8,172.33
482,Manaus,84.6,74,40,3.36,-3.1,-60.02
483,Pedersore,33.96,94,90,20.8,63.65,22.68
484,Panlaitan,77.88,76,0,1.48,12.12,119.85
485,Govlyar,53.6,87,40,13.87,40.95,45.73
486,Tateyama,41.63,75,78,6.93,34.98,139.87
487,Baoshan,13.98,89,21,3.94,46.56,131.42
488,Yuzhno-Kurilsk,25.86,74,14,10.89,44.03,145.86
489,Al Bardīyah,62.94,72,0,4.7,31.76,25.09
490,Mathathane,85.98,32,89,14.0,-22.27,28.75
491,Montepuez,72.48,94,49,2.3,-13.13,39.0
492,Yermakovskoye,34.32,98,100,5.19,53.28,92.4
493,Redwater,47.25,93,90,9.17,33.36,-94.25
494,Charlestown,60.21,100,75,8.05,-32.95,151.67
495,Cayenne,86.0,66,75,12.75,4.93,-52.33
496,Buala,80.04,85,100,8.68,-8.14,159.59
497,Grand-Santi,101.46,24,44,3.27,4.25,-54.38
498,Bady Bassitt,91.4,38,75,3.36,-20.92,-49.45
499,Gamba,80.04,86,99,6.71,-2.65,10.0
500,Tezu,65.46,70,93,3.69,27.92,96.17
501,Gold Coast,67.35,68,40,17.22,-28.0,153.43
502,Vao,84.0,72,41,45.79,-22.67,167.48
503,Evensk,3.0,93,100,7.72,61.95,159.23
504,Ruteng,66.36,86,86,4.0,-8.61,120.47
505,Moose Factory,5.0,71,1,5.82,51.26,-80.61
506,Ballina,60.85,82,82,8.05,-28.87,153.57
507,Cabedelo,78.8,94,90,16.11,-6.98,-34.83
508,Pará de Minas,86.0,37,20,8.05,-19.86,-44.61
509,Sal Rei,77.0,61,20,21.92,16.18,-22.92
510,Storm Lake,33.3,65,90,10.29,42.64,-95.21
511,Dalvik,28.4,68,40,40.26,65.97,-18.53
512,Almenara,80.76,69,100,4.99,-16.18,-40.69
513,Te Anau,51.6,79,83,6.85,-45.42,167.72
514,Pendleton,26.42,85,90,9.17,45.67,-118.79
515,Nowy Targ,33.58,50,0,4.7,49.48,20.03
516,São Lourenço do Oeste,93.0,29,28,3.71,-26.36,-52.85
517,Okha,-3.12,92,50,11.7,53.57,142.95
518,Kemijärvi,29.1,94,100,14.07,66.71,27.43
519,São João da Barra,86.85,58,20,13.87,-21.64,-41.05
520,Buraidah,66.2,59,0,9.17,26.33,43.98
521,Kristiansund,37.4,64,75,27.51,63.11,7.73
522,Perama,52.43,62,75,4.7,37.98,23.58
523,Panama City,91.26,46,20,11.41,8.99,-79.52
524,Flinders,58.98,100,40,13.87,-34.58,150.86
525,Dafeng,61.86,86,100,4.63,23.45,108.59
526,Aswān,77.0,33,0,6.93,24.09,32.91
527,Botwood,31.86,58,75,25.28,49.15,-55.35
528,Nakamura,40.26,69,5,14.74,32.98,132.93
529,Muzaffarpur,69.8,100,40,3.36,26.12,85.4
530,Sirpur,86.7,31,85,3.83,19.48,79.6
531,Camopi,89.58,48,100,2.68,3.17,-52.32
532,Quthing,62.58,40,0,4.09,-30.4,27.7
533,Ailigandí,85.08,56,49,9.89,9.23,-78.02
534,Tsimmerbude,39.2,48,37,13.42,54.67,20.13
535,Zyryanovsk,23.7,65,46,2.59,49.74,84.27
536,Staicele,33.01,68,21,5.99,57.84,24.75
537,Balkanabat,54.3,69,6,3.65,39.51,54.37
538,Yārāda,77.0,94,20,2.24,17.65,83.27
539,Dingli,58.98,87,40,11.41,35.86,14.38
540,Svetlaya,20.82,57,53,10.07,46.54,138.33
541,Conakry,86.0,70,45,13.87,9.54,-13.68
542,Townsend,51.01,53,75,9.17,39.4,-75.69
543,Lady Frere,56.82,90,36,12.88,-31.7,27.23
544,Tucupita,95.34,42,81,2.89,9.06,-62.05
545,Soe,74.1,81,78,3.6,-9.86,124.28
546,Lompoc,56.43,66,75,10.29,34.64,-120.46
547,Berlevåg,25.07,46,20,11.41,70.86,29.09
548,Plettenberg Bay,61.68,89,100,1.72,-34.05,23.37
549,Hūn,75.36,14,0,10.07,29.13,15.95
550,Sechura,74.64,85,30,15.84,-5.56,-80.82
551,Phek,55.02,88,12,1.05,25.67,94.5
552,Pundaguitan,79.14,77,24,5.55,6.37,126.17
553,The Pas,8.6,50,90,6.93,53.83,-101.25
554,Yar-Sale,-6.18,81,78,5.93,66.83,70.83
555,Garoowe,75.18,73,0,14.18,8.41,48.48
556,Yumen,35.4,23,100,7.92,40.28,97.2
557,Sisimiut,-5.46,75,0,3.98,66.94,-53.67
558,Loa Janan,74.1,95,52,2.06,-0.58,117.09
559,Salinas,51.53,76,90,4.7,36.68,-121.66
560,Fonseca,93.2,46,20,9.62,10.89,-72.85
561,Nioro,100.56,10,29,11.21,13.35,-15.75
562,Sydney,59.34,93,75,17.22,-33.87,151.21
563,Tabou,80.4,84,100,4.81,4.42,-7.35
564,Pacifica,49.87,76,1,11.41,37.61,-122.49
565,Saint-François,57.63,47,1,14.99,46.42,3.91
566,Cape Canaveral,82.42,74,1,6.93,28.41,-80.6
567,Havøysund,24.58,62,90,8.05,71.0,24.66
568,Sri Aman,77.0,100,19,3.33,1.24,111.46
